[2025-12-14 04:24:35] Usuario ID: 6 (SuperAdmin) | Acción: Asignar Equipo | Detalles: Equipo 27 asig a 6 (Lote)
[2025-12-14 04:24:35] Usuario ID: 6 (SuperAdmin) | Acción: Asignar Equipo | Detalles: Equipo 25 asig a 6 (Lote)
[2025-12-14 04:24:35] Usuario ID: 6 (SuperAdmin) | Acción: Asignar Equipo | Detalles: Equipo 29 asig a 6 (Lote)
[2025-12-14 04:27:34] Usuario ID: 6 (SuperAdmin) | Acción: Actualizar Permisos | Detalles: Permisos actualizados para rol ID: 3
[2025-12-14 04:28:41] Usuario ID: 6 (SuperAdmin) | Acción: Asignar Ticket | Detalles: Ticket ID: 14 a Técnico ID: 4
[2025-12-14 19:43:03] Usuario ID: 1 (SuperAdmin) | Acción: Crear Usuario | Detalles: Usuario: JuanTest (Empresa ID: )
[2025-12-14 19:43:49] Usuario ID: 1 (SuperAdmin) | Acción: Crear Usuario | Detalles: Usuario: pedroTest (Empresa ID: )
[2025-12-14 19:44:04] Usuario ID: 1 (SuperAdmin) | Acción: Actualizar Usuario | Detalles: Usuario ID: 4
[2025-12-14 19:44:04] Usuario ID: 1 (SuperAdmin) | Acción: Actualizar Usuario | Detalles: Usuario actualizado: PedroTest
[2025-12-14 20:34:03] Usuario ID: 1 (SuperAdmin) | Acción: Crear Usuario | Detalles: Usuario: HHRR (Empresa ID: )
[2025-12-14 20:35:13] Usuario ID: 1 (SuperAdmin) | Acción: Actualizar Usuario | Detalles: Usuario ID: 5
[2025-12-14 20:35:14] Usuario ID: 1 (SuperAdmin) | Acción: Actualizar Usuario | Detalles: Usuario actualizado: RRHH
[2025-12-14 20:35:32] Usuario ID: 1 (SuperAdmin) | Acción: Actualizar Usuario | Detalles: Usuario ID: 5
[2025-12-14 20:35:32] Usuario ID: 1 (SuperAdmin) | Acción: Actualizar Usuario | Detalles: Usuario actualizado: RRHH
[2025-12-14 20:36:29] Usuario ID: 1 (SuperAdmin) | Acción: Actualizar Permisos | Detalles: Permisos actualizados para rol ID: 5
[2025-12-14 22:35:02] Usuario ID: 1 (SuperAdmin) | Acción: Actualizar Usuario | Detalles: Usuario ID: 5
[2025-12-14 22:35:03] Usuario ID: 1 (SuperAdmin) | Acción: Actualizar Usuario | Detalles: Usuario actualizado: RRHH
[2025-12-14 22:35:27] Usuario ID: 1 (SuperAdmin) | Acción: Actualizar Usuario | Detalles: Usuario ID: 5
[2025-12-14 22:35:27] Usuario ID: 1 (SuperAdmin) | Acción: Actualizar Usuario | Detalles: Usuario actualizado: RRHH
[2025-12-14 23:01:16] Usuario ID: 1 (SuperAdmin) | Acción: Actualizar Usuario | Detalles: Usuario ID: 5
[2025-12-14 23:01:16] Usuario ID: 1 (SuperAdmin) | Acción: Actualizar Usuario | Detalles: Usuario actualizado: RRHH
[2025-12-14 23:01:33] Usuario ID: 1 (SuperAdmin) | Acción: Actualizar Usuario | Detalles: Usuario ID: 5
[2025-12-14 23:01:33] Usuario ID: 1 (SuperAdmin) | Acción: Actualizar Usuario | Detalles: Usuario actualizado: RRHH
[2025-12-14 23:05:12] Usuario ID: 1 (SuperAdmin) | Acción: Actualizar Usuario | Detalles: Usuario ID: 5
[2025-12-14 23:05:12] Usuario ID: 1 (SuperAdmin) | Acción: Actualizar Usuario | Detalles: Usuario actualizado: RRHH
[2025-12-14 23:05:30] Usuario ID: 1 (SuperAdmin) | Acción: Actualizar Usuario | Detalles: Usuario ID: 5
[2025-12-14 23:05:30] Usuario ID: 1 (SuperAdmin) | Acción: Actualizar Usuario | Detalles: Usuario actualizado: RRHH
[2025-12-14 23:05:44] Usuario ID: 1 (SuperAdmin) | Acción: Actualizar Usuario | Detalles: Usuario ID: 5
[2025-12-14 23:05:44] Usuario ID: 1 (SuperAdmin) | Acción: Actualizar Usuario | Detalles: Usuario actualizado: RRHH
[2025-12-14 23:06:26] Usuario ID: 1 (SuperAdmin) | Acción: Actualizar Usuario | Detalles: Usuario ID: 5
[2025-12-14 23:06:26] Usuario ID: 1 (SuperAdmin) | Acción: Actualizar Usuario | Detalles: Usuario actualizado: RRHH
[2025-12-14 23:06:46] Usuario ID: 1 (SuperAdmin) | Acción: Actualizar Usuario | Detalles: Usuario ID: 5
[2025-12-14 23:06:46] Usuario ID: 1 (SuperAdmin) | Acción: Actualizar Usuario | Detalles: Usuario actualizado: RRHH
